_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1099 , "PBC J1919.5+4345" , 289.87708 , 43.76017 , "75.38" , "13.7" , "(7.3+/-4.3)x10-12" , " " , 0 , " -- " , "PBC J1919.5+43"
1100 , "PBC J1920.9+4358" , 290.25208 , 43.96481 , "75.69" , "13.54" , "(20.5+/-5.3)x10-12" , "ClG " , 0.056 , " -- " , "ACO 2319 "
1101 , "PBC J1922.6-1716" , 290.64542 , -17.27219 , "20.69" , "-14.51" , "(46.9+/-5.5)x10-12" , "gam " , 0 , " -- " , "SWIFT J1922.7-"
1102 , "PBC J1924.4-2913" , 291.15792 , -29.23539 , "9.33" , "-19.57" , "(14.3+/-8.1)x10-12" , "BLA " , 0.352 , "BZQ (FSRQ)" , "OV -236 "
1103 , "PBC J1924.4+5014" , 291.12833 , 50.25433 , "81.86" , "15.59" , "(11.3+/-6.2)x10-12" , "Sy* " , 0 , " -- " , "CH Cyg "
1104 , "PBC J1926.6+4131" , 291.66208 , 41.52842 , "73.89" , "11.55" , "(9.4+/-5.3)x10-12" , "X " , 0 , " -- " , "1RXS J192630.6"
1105 , "PBC J1929.9+1818" , 292.49833 , 18.30833 , "53.54" , "0.1" , "(9.4+/-5.5)x10-12" , "X " , 0 , " -- " , "SWIFT J1929.8+"
1106 , "PBC J1933.8+3254" , 293.42833 , 32.93311 , "66.81" , "6.36" , "(16.8+/-9.5)x10-12" , "Sy1 " , 0.058 , " -- " , "1RXS J193347.6"
1107 , "PBC J1938.2-5107" , 294.57333 , -51.12136 , "347" , "-27.94" , "(12.2+/-8.1)x10-12" , "Sy1 " , 0.04 , " -- " , "1H 1927-516 "
1108 , "PBC J1937.4-0613" , 294.37 , -6.23872 , "32.56" , "-13.07" , "(2+/-1)x10-11" , "Sy1 " , 0.011 , " -- " , "IGR J19378-061"
1109 , "PBC J1940.2-3015" , 295.06042 , -30.25678 , "9.54" , "-23.1" , "(14.9+/-8.5)x10-12" , "AGN " , 0.052 , " -- " , "2MASX J1940150"
1110 , "PBC J1940.2-1024" , 295.06958 , -10.41439 , "29" , "-15.52" , "(42.6+/-4.1)x10-12" , "AM* " , 0 , " -- " , "RX J1940.2-102"
1111 , "PBC J1942.6-1019" , 295.66125 , -10.31364 , "29.35" , "-16.01" , "(69.5+/-4.2)x10-12" , "Sy1 " , 0.005 , " -- " , "NGC 6814 "
1112 , "PBC J1943.9+2118" , 295.97083 , 21.30078 , "57.75" , "-1.29" , "(22.2+/-6.9)x10-12" , "gam " , 0 , " -- " , "IGR J19443+211"
1113 , "PBC J1947.2+4448" , 296.81125 , 44.82475 , "78.63" , "9.74" , "(16.6+/-6.1)x10-12" , "AGN " , 0.053 , " -- " , "CXOU J194719.3"
