_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
125 , "ROXA J083125.99+432513.11" , 127.85833 , 43.42031 , 1.23 , 19.9 , 0 , 0 , 20.2 , 149.2 , 6.6e-13 , "QSO RLoud steep radio sp." , 0.98 , 0.56 , 0.74 , "5.764e+45" , "1.303e+34" , 0.94 , "1RXS J083125.8+4325" , "177.3" , "35.91"
126 , "ROXA J083148.79+042939.08" , 127.95333 , 4.49419 , 0.18 , 15.4 , 0 , 0 , 15.8 , 1241.9 , 1.3e-12 , "BL Lac" , 1.6 , 0.55 , 0.91 , "1.181e+44" , "1.129e+33" , -0.36 , "1RXS J083147.7+0430" , "220.69" , "24.33"
127 , "ROXA J083251.4+330010.9" , 128.21417 , 33.00303 , 0.67 , 20.4 , 0 , 0 , 20.9 , 4.5 , 3.3e-12 , "BL Lac" , 0.64 , 0.39 , 0.5 , "6.458e+45" , "8.807e+31" , "--" , "1RXS J083251.9+3300" , "189.97" , "34.61"
128 , "ROXA J083357.0+472652.9" , 128.4875 , 47.44803 , 0.49 , 18.8 , 0 , 0 , 19.1 , 11.7 , 2.4e-12 , "BL Lac" , 0.96 , 0.35 , 0.57 , "2.238e+45" , "1.091e+32" , "--" , "1RXS J083357.5+4726" , "172.35" , "36.6"
129 , "ROXA J083353.8+422401.8" , 128.47417 , 42.4005 , 0.25 , 16.8 , 0 , 0 , 17.3 , 249.3 , 2e-12 , "QSO RLoud flat radio sp." , 1.3 , 0.53 , 0.8 , "3.764e+44" , "4.692e+32" , -0.37 , "1RXS J083356.3+4223" , "178.61" , "36.27"
130 , "ROXA J083453.89+553414.41" , 128.72458 , 55.57067 , 0.24 , 16.8 , 0 , 0 , 18.1 , 8283.7 , 2.6e-12 , "Radio Galaxy" , 1.2 , 0.79 , 0.94 , "4.544e+44" , "1.448e+34" , "--" , "1RXS J083454.3+5534" , "162.23" , "36.55"
131 , "ROXA J083636.79+412554.69" , 129.15333 , 41.43186 , 1.3 , 17.4 , 0 , 0 , 17.5 , 488.5 , 1.4e-12 , "QSO RLoud flat radio sp." , 1.25 , 0.54 , 0.82 , "1.402e+46" , "4.892e+34" , 0.2 , "1RXS J083638.4+4126" , "179.87" , "36.67"
132 , "ROXA J083906.49+575416.99" , 129.77708 , 57.90472 , 1.53 , 17.2 , 0 , 0 , 17.7 , 2258.6 , 5.6e-13 , "QSO RLoud steep radio sp." , 1.39 , 0.66 , 0.95 , "8.426e+45" , "3.398e+35" , "--" , "1RXS J083905.6+5754" , "159.26" , "36.89"
133 , "ROXA J084203.7+401831.28" , 130.51542 , 40.30869 , 0.15 , 16.5 , 0 , 0 , 16.9 , 22.8 , 1.1e-11 , "QSO RLoud HFSRQ" , 1.07 , 0.31 , 0.58 , "6.889e+44" , "1.428e+31" , -0.51 , "1RXS J084203.4+4018" , "181.4" , "37.59"
134 , "ROXA J084205.5+075925.51" , 130.52292 , 7.99042 , 0.13 , 17.3 , 0 , 0 , 23.2 , 17.4 , 8.3e-12 , "Seyfert type 1.5" , 0.62 , 0.47 , 0.53 , "3.949e+44" , "8.278e+30" , "--" , "1RXS J084206.6+0759" , "218.52" , "28.2"
135 , "ROXA J084225.49+025252.71" , 130.60625 , 2.88131 , 0.43 , 18.8 , 0 , 0 , 19.4 , 16.9 , 8e-13 , "BL Lac" , 1.13 , 0.39 , 0.66 , "5.211e+44" , "1.101e+32" , "--" , "1RXS J084225.2+0253" , "223.64" , "25.89"
136 , "ROXA J084556.89+294546.18" , 131.48708 , 29.76283 , 0.39 , 19.1 , 0 , 0 , 20.2 , 5.8 , 1.5e-12 , "BL Lac" , 0.94 , 0.34 , 0.56 , "8.120e+44" , "3.140e+31" , "--" , "1RXS J084556.4+2945" , "194.62" , "36.62"
137 , "ROXA J084600.3+070424.6" , 131.50125 , 7.0735 , 0.34 , 16.9 , 0 , 0 , 17 , 308.1 , 4.9e-12 , "Seyfert type 1" , 1.15 , 0.47 , 0.72 , "1.915e+45" , "1.204e+33" , "--" , "1RXS J084600.6+0704" , "219.95" , "28.65"
138 , "ROXA J084649.99+064148.98" , 131.70833 , 6.69694 , 0.62 , 17.3 , 0 , 0 , 17.2 , 89.6 , 1.9e-12 , "QSO RLoud flat radio sp." , 1.25 , 0.42 , 0.73 , "3.019e+45" , "1.424e+33" , -0.12 , "1RXS J084649.7+0641" , "220.44" , "28.66"
139 , "ROXA J085102.89+054905.91" , 132.76208 , 5.81831 , 0.49 , 19.1 , 0 , 0 , 19.4 , 7.4 , 1.4e-12 , "BL Lac" , 1 , 0.33 , 0.58 , "1.255e+45" , "6.636e+31" , "--" , "1RXS J085102.8+0548" , "221.88" , "29.18"
